,Session,Question,Question from,Party,Date Dated,Date Answered
1888,2019-2020," Jeg vil ønske Erna Solberg  velkommen til 20-tallet. I helgen sa nemlig Erna Solberg at 20-tallet  skal bli Høyres tiår. Vi får nå se. Det forrige 20-tallet ble preget  av at Høyre for siste gang var største parti i Norge ved stortingsvalg,  og at fagbevegelsen fikk sitt politiske gjennombrudd i Norge. På den  tiden hadde viktige industrianlegg med stor betydning for lokalsamfunn  i landet vårt blitt etablert – i Sauda, Odda, Høyanger. Vi bygde  landet på strøm fra vannkraften.

Kraften er ikke en hvilken som helst vare. Vi står i en særstilling med en nøkkelindustri som er bygd på lave strømpriser. Men i desember kom altså NVEs analyse av krafteksportkabelen NorthConnect. Der står det at hvis de får konsesjon, blir kraftselskapene vinnerne, mens industrien og folk flest er taperne. Vår kraftkrevende industri gir samlet sett 12 000 arbeidsplasser. Hvis prisene på strøm øker med opp mot 3 øre, som NVE anslår, betyr det over 1 mrd. kr i økte utgifter for industrien.

Det er den lave energikostnaden fra fornybar vannkraft som i over hundre år har vært det avgjørende konkurransefortrinnet for Norge som industrinasjon. Det settes i fare med økt eksport av norsk kraft og import av høyere kraftpriser fra EU og fra England.

I mars 2018 sa Solberg at regjeringens beslutning om NorthConnect forutsetter samfunnsøkonomisk lønnsomhet. NVE sier nå at det er samfunnsøkonomisk pluss, men økte strømpriser vil gjøre norsk industri og folk flest til taperne. Vil regjeringen starte dette 20-tallet med å bygge landet videre og sikre at folk flest ikke får økte strømregninger? Eller vil regjeringen starte 20-tallet med å bygge NorthConnect?

",Bjørnar Moxnes,Rødt,2020-01-15,2020-01-15
1889,2019-2020," kan være en langt  hissigere klimagass enn først antatt. Modeller som skal inngå i  FNs nye hovedrapport, anslår nå at det er langt mer sannsynlig enn  før at vi er på vei mot 4–5-graders oppvarming. Denne nyheten har  rystet mange nordmenn langt inn i margen.

Hvis disse anslagene viser seg å stemme, kan det bety at karbonbudsjettet for 1,5-gradersambisjonen rett og slett er oppbrukt. Det kan også bety at det er enda mer åpenbart at det ikke er plass til mer norsk olje og gass i atmosfæren. Dette gir begrepet «klimarisiko» en helt annen dimensjon.

Jeg vil derfor utfordre statsministeren med et tankeeksperiment: Hvordan vil regjeringen forholde seg til et scenario basert på at CO2 er en hissigere klimagass enn tidligere antatt, slik disse nye modellene har varslet? Vil statsministeren f.eks. vurdere å sette tildeling av nye letelisenser på pause i tiden framover hvis FNs klimapanel faktisk konkluderer med at klimaet er langt mer følsomt og karbonbudsjettene tilsvarende mindre enn vi har trodd? Eventuelt hvor lenge vil statsministeren velge å holde gassen i bånn mens hun overser de blinkende røde lysene?

",Per Espen Stoknes,Miljøpartiet De Grønne,2020-01-15,2020-01-15
1890,2019-2020," Forrige fredag kunne VG  avsløre at barnevernet i Norge blir stadig mer dominert av internasjonal  storkapital. Høyresidens romantiske historiefortelling om at kommersielle aktører  i velferden først og fremst er norske smågründere og lokale ildsjeler,  blir fjernere for hver avsløring som kommer. Omsorg for og beskyttelse  av de mest sårbare barna våre har blitt et marked der de største  barnevernsaktørene de siste årene har kjøpt opp en rekke mindre  selskaper. Flere av selskapene viser seg også å være deleid av store  fond i skatteparadiser. Den internasjonale storkapitalen har altså  strukket et digert sugerør helt fra Luxembourg, Jersey, Guernsey  og rett inn i den norske statskassen. Penger som skulle gått til  sårbare barn i Norge, ender i stedet på kontoene til internasjonal  finanselite.

Det er jo en stor del av høyresidens selvbilde, dette med ansvarlig forvaltning av skattebetalernes penger. Statsministeren snakker ofte om bærekraft og om effektivisering. Samtidig har regjeringen aldri brydd seg om å prøve å finne ut hvor mye av skattebetalernes penger som forsvinner fra den norske statskassen og den norske velferden og ut i profitt for rike eiere innenlands og utenlands. Det er ingenting produktivt eller effektivt for Norge i at skattepengene ender på Guernsey istedenfor å brukes til omsorg og beskyttelse av sårbare barn.

Derfor lurer jeg rett og slett på om statsministeren mener det er et problem at fond plassert i skatteparadiser eier en stadig større del av norsk barnevern.

",Audun Lysbakken,Sosialistisk Venstreparti,2020-01-15,2020-01-15
1891,2019-2020," Statsministeren velger  å anlegge en – jeg skal være forsiktig med å bruke for store ord  – litt vel arrogant tone overfor dem som stilte spørsmål før i dag,  en litt belærende tone, men det som er hovedpoenget, er at billettprisene på  ferjer og hurtigbåter er for høye. Det er et faktum, og det mener  jeg vi må gjøre noe med. 

Norge er et langstrakt land. Vi har fjorder, øyer, levende lokalsamfunn, bedrifter og enorm verdiskaping langs hele kysten vår, og vi er helt avhengig av at ferjene og hurtigbåtene binder landet sammen. Når vi går bort fra belæringen, fra forklaringer, det jeg vil si er litt vel mye arroganse, handler dette om hverdagen til den bedriften som skal få ting til å gå i hop. Det handler om pendleren som har opplevd at det har blitt strammet inn i pendlerfradraget, det handler om familielivet, og det handler om hverdagen til folk. Og kystbefolkningen har blitt rammet ganske kraftig. 

Regjeringen har valgt å øke momsen på ferjebilletten med 50 pst. Det er et aktivt valg som statsminister Erna Solberg har tatt, som har gjort det dyrere å bruke hurtigbåt, ferje og buss. Det har økt med 50 pst. Man har valgt det aktivt, og det rammer dem som må reise langt, å kutte i pendlerfradraget. Mange pendlere får 5 000–6 000 kr mer i skatt på grunn av den måten regjeringen har strammet inn på pendlerfradraget. 

Regjeringen valgte aktivt å ramme kystbefolkningen i hvordan de endret inntektsnøklene i 2015, noe som har rammet fylker langs hele kysten ved at de har fått inndratt inntekter. Regjeringen valgte også i 2015, da vi diskuterte vårt ønske om å ha lavutslippsferjer, noe Senterpartiet har brent for, aktivt å stemme ned Senterpartiets forslag om at staten skulle ta regningen. Det ville man ikke gjøre. I sum har det gjort at tilbudet har blitt dårligere og prisene har blitt høyere.

Da er mitt spørsmål til statsministeren – bort fra belæring og til et svar: Hva vil statsministeren gjøre for å få ned billettprisene og sikre et godt tilbud langs kysten vår?

",Trygve Slagsvold Vedum,Senterpartiet,2020-01-15,2020-01-15
1892,2019-2020," Dei siste vekene har me sett  eit folkeleg opprør langs kysten mot ein kraftig auke i ferjeprisane.  Det er snakk om auka ferjeprisar på 10, 20 og 30 pst., og nokre  plassar på 40 pst. Sjølv vaks eg opp med Tau-ferja til Stavanger.  Det er det som no har vorte til Ryfast. Me som kjem frå kyst- og  fjordkommunane, veit jo at ferjer ikkje berre er kos; ferjer er  òg ei nødvendigheit. Det gjorde at far kunne pendla til Stavanger  og jobba i Dusavika, det gjorde at me kunne koma oss til sjukehuset  når me trong det, i tillegg til at det sjølvsagt òg kunne vera ei  fin utflukt til byen. 

No er det slik at me nesten dagleg ser eksempel på kva auka ferjeprisar betyr for kvardagsøkonomien til heilt vanlege familiar. Sunnmørsposten kan fortelja om dagpendlarar som må ut med 11 000 kr meir i året for dagpendling. Og me kan lesa på nrk.no at foreldre som vil følgja ungane sine på fotballtrening frå Dønna til Sandnessjøen, har risikert å måtta betala 500 kr kvar gong. Tilsvarande historier kan ein høyra om pasientar, om ferierande og lokalt næringsliv, som no får ei større rekning. Eg vil minna om at dette skjer samtidig som at regjeringa har redusert frådraget for pendlarane, og det skjer samtidig som at regjeringa har føreslått null i vekst i fylkeskommunane sine frie inntekter dei siste to åra.

Det er ikkje så konstruktivt når politikarane skuldar på kvarandre. Det som er konstruktivt, er å fiksa problema som finst i kvardagen til folk. Her er det jo eit problem, og det skapar ganske sterke reaksjonar hos mange langs kysten. Arbeidarpartiet har føreslått meir til fylka kvart einaste år dei siste sju åra. Det ville gjeve fylka ein betre økonomi, og det ville gjort lågare ferjeprisar mogleg for fleire. 

Så eg må nesten spørja kvifor statsministeren vel å føra ein politikk som gjer det dyrare for folk i distrikta å koma seg til og frå jobben.

",Hadia Tajik,Arbeiderpartiet,2020-01-15,2020-01-15
1893,2019-2020,"6 år med den gylne regel og gode intensjoner for psykiatrien har ikke hjulpet. Fortsatt er etterslepene og utfordringene i psykiatrien dramatiske, og vi er ikke i stand til å yte den hjelpen folk trenger. 
Statsråden har vært både sur og sint og lei over manglende oppfølging – har han noen nye, konkrete og håndfaste grep for å sikre at ønsket politikk blir gjennomført?",Nicholas Wilkinson,Sosialistisk Venstreparti,2020-01-09,2020-01-15
1894,2019-2020,"23. oktober 2018 gav Miljødirektoratet avslag på begjæring fra Smaalenenes Avis om innsyn i Jegerregisteret. I desember 2019 ble likevel slikt innsyn gitt av Klima- og miljødepartementet som klageinstans. 
Hvorfor valgte departementet å overprøve Miljødirektoratets vedtak?",Ole André Myhrvold,Senterpartiet,2020-01-09,2020-01-15
1895,2019-2020,"Utdanningsnytt har avdekket at det blir stadig mer vanlig blant lærere å betale for undervisningsmateriell av egen lomme. Det pekes på at bøker er utdaterte og at skolen har trange budsjetter, samt et press om mer spennende undervisningsopplegg en ikke har tid nok til å utarbeide. Sykepleiere må ikke ta med bandasje på jobb. 
Hva mener statsråden om denne utviklingen, der stadig flere lærere selv tar regningen for undervisningen?",Torstein Tvedt Solberg,Arbeiderpartiet,2020-01-09,2020-01-15
1896,2019-2020,"En ny kartlegging som er foretatt av blant annet Norsk Utenrikspolitisk Institutt, viser at en liten del av de samlede forskningsmidlene i verden går til å løse vår tids største utfordring, klimaendringene. En av forskerne bak studien konkluderer dessuten med at de største uløste spørsmålene ikke kan løses av naturvitenskapen, men er samfunnsvitenskapelige. 
Kan statsråden dokumentere i hvilken grad norske forskningsbevilgninger går til å løse de mest presserende klimautfordringene, og redegjøre for hvor mye som bevilges til samfunnsvitenskapelig forskning knyttet til å forhindre klimaendringer?",Nina Sandberg,Arbeiderpartiet,2020-01-09,2020-01-15
1897,2019-2020,"Det bur ca. 5 000 døve teiknspråkbrukarar i Noreg. I Oslo, Trondheim og Bergen er det eigne sjukeheimstilbod for døve. For døve som bur i andre kommunar, finst det ikkje slike tilbod der teiknspråk er daglegspråket. Dersom ein søker plass ved eit av desse tre sjukeheimstilboda, kan ein bli nekta plass fordi dei prioriterer pasientar i eigen kommune. 
Kva vil regjeringa gjere for å sikre alle døve sjukeheimspasientar rett til å velje plass på ein sjukeheim i eit teiknspråkleg miljø?",Kjersti Toppe,Senterpartiet,2020-01-09,2020-01-15
1898,2019-2020," Mitt spørsmål går til samfunnssikkerhetsministeren. 

Før jul debatterte vi spørsmålet om valg av redningshelikopterbase, etter et forslag fra Senterpartiet som i utgangspunktet var et forslag om en faglig vurdering av hvor det var mest hensiktsmessig å legge basen. Før forslaget ble behandlet, landet regjeringen på Tromsø. Flertallet i fylkesting, kommuner og regionråd har pekt på Bardufoss. Til det er svaret fra statsråden at det er uttalelser hun ikke bryr seg noe som helst om. Nok en gang ser vi at regjeringen overkjører lokaldemokratiet i Nord-Norge.

Statsråden sa også at Senterpartiet løftet Bardufoss opp som et rent sysselsettingstiltak. Verken jeg eller Senterpartiet har noen gang brukt arbeidsplasser som et argument. Jeg mener det er gode argumenter for at basen bør ligge på Bardufoss.

Stortinget har i denne saken ikke blir forelagt noen som helst faglige vurderinger om hvor det er mest hensiktsmessig å legge denne basen. Så mitt spørsmål er: Hvorfor har ikke regjeringen gjort noen som helst faglige vurderinger og en utredning om hvor nye redningshelikopter i Troms skal være?

",Sandra Borch,Senterpartiet,2020-01-08,2020-01-08
1899,2019-2020," Spørsmålet mitt går til samfunnssikkerhets-  og beredskapsministeren. 

Vik kommune med om lag 2 700 innbyggjarar vart nok ein gong isolert frå omverda nyttårshelga med stengt fjell og innstilt ferjesamband, i periodar òg utan straum – alt grunna vêrforholda. Heller ikkje helikoptertransport er då mogleg. Vikafjellsvegen eller ferje er Vik kommune sin transportåre ut til omverda. Dette skjer etter ei romjul med innestengde bygder i Fresvik og i Arnafjord, som er i same kommune. 

Riksveg 13 over Vikafjellet, som går gjennom Vik kommune, er den mest stengde riksvegen med ca. 55 døgn stenging kvart år. Ferjesambandet mellom Vangsnes og Hella er òg ofte stengt på grunn av uvêr eller andre forhold. Når vind- og straumforhold gjer at ferja ikkje kan gå, då er bygda heilt isolert – ein vil ikkje koma seg til sjukehus, ein kan ikkje få hjelp ved ulykker, brann eller andre katastrofar. 

Det er statsråden sitt ansvar at beredskapen er akseptabel for befolkninga i heile landet. Tunnel under Vikafjellet ville ha løyst akkurat denne utfordringa, og tunnelen låg inne i førre NTP – og er lova i alle valkampar, spesielt frå regjeringspartia. Statsrådens partikollega Bård Hoksrud uttalte til NRK at dette vegprosjektet skulle framskundast, og det skulle påbegynnast allereie i 2014, altså for fem år sidan. Likevel tok regjeringa no tunnelen ut av NTP. Rassikringsmidlane er òg altfor små, og då får vi framleis stengde vegar på grunn av ras, som òg ofte tek med seg straumleidningane. Samstundes veit vi at vêret vert våtare og villare i framtida grunna klimaendringar. 

Meiner statsråden at beredskapssituasjonen er akseptabel for Vik kommune, der kommunen er isolert gjentekne gonger i året, eller vil statsråden setja i verk tiltak? 

",Ingrid Heggø,Arbeiderpartiet,2020-01-08,2020-01-08
1900,2019-2020," Mitt spørsmål går til utviklingsministeren.

Klimakrisen rammer de fattigste i verden aller hardest, og det er en stor urett at de som har gjort minst for å utløse krisen, er de som betaler den høyeste prisen. Derfor må vår utviklingspolitikk rettes inn både mot å hjelpe fattige land til å ta steget forbi fossilalderen i sin økonomiske utvikling og til tilpasning, f.eks. innenfor jordbruket, som gjør det mulig å utvikle et jordbruk som kan fø folk i en situasjon hvor klimaet endrer seg.

På klimatoppmøtet i Madrid var det lite å glede seg over, men én ting som mange la merke til, var et positivt initiativ fra 47 av de minst utviklede landene i verden. De ønsket å inngå et partnerskap hvor de tar på seg forpliktelser til en grønn utvikling av sine land mot at rike land forplikter seg til ambisiøse kutt i egne klimautslipp og samtidig en ambisiøs opptrapping av klimabistanden og penger til både klimatiltak og tilpasning i fattige land. Land som Storbritannia, Tyskland, Sverige, Finland, Danmark med flere underskrev dette initiativet og med det en forpliktelse til å jobbe sammen med de fattigste landene. 

Norge underskrev ikke det som har fått navnet The Least Developed Countries Initiative for Effective Adaptation and Resilience, og mitt spørsmål er ganske enkelt hvorfor Norge ikke har signert.

",Audun Lysbakken,Sosialistisk Venstreparti,2020-01-08,2020-01-08
1901,2019-2020," I dag har NHO årskonferansen  sin. Verdiskaping, eksportinntekter er viktig for NHO, men det er  også viktig for Senterpartiet. Statsministeren har kome seg tilbake  til Oslo og har halde innlegg om behov for ein meir næringsvenleg  politikk. 

Men denne regjeringa har altså brote med den næringsfridomen me tradisjonelt har hatt i Noreg. Regjeringa har innført eit nasjonalt forbod mot hald av pelsdyr – ei lovleg vare å kjøpa og selja i Noreg har vorte forboden å produsera i Noreg. Eg har sett på Instagram at statsråden har kosa seg i jula og feira med både ribbe og pinnekjøt. Mange av dei i landet som driv med oppdrett av pelsdyr, har ikkje kosa seg i jula. Dei har hatt ei vanskeleg jul, for ikkje berre opplever dei ei regjering som nektar dei å driva på med næringa si, men dei har ei regjering som nektar å dekkja det økonomiske tapet som dei lir. Folk vil sitja igjen med store økonomiske tap med den forskrifta til erstatning som er lagt fram. Det er ikkje mange familiar dette gjeld. Det er i underkant av 200 familiar som må bera prisen for regjeringa sin politikk. Kristeleg Folkeparti-leiar Ropstad forsøkte seg på tampen av 2019 med ein bodskap om at menneske har større verdi enn dyr. I denne saka meiner eg at dyra kanskje er behandla betre enn det regjeringa har behandla folka.

Så mitt spørsmål er: Meiner statsråden at det er rett at folk som vert fråtekne moglegheita til å driva næringsverksemd, skal sitja igjen med eit stort økonomisk tap? Kor stort økonomisk tap meiner statsråden er rimeleg? Er det f.eks. ok at enkelte aktørar tapar 1 mill. kr på regjeringa sin politikk? 

",Geir Pollestad,Senterpartiet,2020-01-08,2020-01-08
1902,2019-2020," En av de absolutt største kvalitetene  ved norsk landbruk er at vi bruker landets ressurser ikke bare der  det er optimalt, men også der det er mer marginale områder, slik  at hele landets ressurser brukes. Derfor går mitt spørsmål til landbruksministeren,  for landbruk over hele landet, med melk- og kjøttproduksjon, er  et veldig klart uttrykt politisk ønske og en målsetting. 

De siste ukene har vi vært vitne til at Landbrukssamvirket, Nortura og TINE avvikler og nedbemanner flere steder i landet. På Otta avvikles slakteriet til Nortura, en hjørnesteinsbedrift der 63 ansatte nå mister jobben. Det at Gudbrandsdalen står uten slakteri, et av de tetteste dyreområdene i landet, er helt uforståelig, og det har skapt stort opprør, som vi kan lese om i dagens Nationen. I Klassekampen i går kunne vi lese at TINE, som en følge av den omstruktureringen de må gjennom, sier opp hele 430 ansatte. Strukturrasjonaliseringen og sentraliseringen innen næringsmiddelindustrien gir grunn til bekymring og skjer på tvers av det som er Arbeiderpartiets målsettinger, fordi industri og produksjon henger tett sammen og er avhengig av hverandre. 

I Arbeiderpartiet stiller vi oss nå spørsmålet: Hva er det regjeringen gjør i den situasjonen vi er inne i? Jeg håper at landbruksministeren er enig med Arbeiderpartiet i at vi skal øke norsk matproduksjon basert på norske ressurser. Da trenger vi virkelig et taktskifte i politikken og en aktiv satsing for å sikre flere arbeidsplasser innen næringsmiddelindustrien rundt omkring i landet – vi trenger ikke færre. Vi trenger kanskje nå mer enn noen gang en statsråd som ser sammenhengene. 

Mitt spørsmål blir derfor: Hva vil statsråden gjøre nå for å sikre rammevilkår for norsk næringsmiddelindustri, slik at vi også i framtiden har en industri som foredler norskprodusert mat over hele landet?

",Terje Aasland,Arbeiderpartiet,2020-01-08,2020-01-08
1903,2019-2020,"Ifølge den nye energimarkedspakken som EU vedtok i 2019 må Statnett annethvert år utarbeide reviderte tiårige nettutviklingsplaner som skal være i tråd med EUs nettverksplaner og planer for regionale nett. Ved motstrid kan Reguleringsmyndigheten for energi, RME, be om endring i planene. NorthConnect-kabelen står på EUs liste over prioriterte prosjekt. 
Mener statsråden at nye utenlandskabler vil være en suveren beslutning for norske myndigheter dersom den nye energimarkedspakken godtas av Norge?",Sigbjørn Gjelsvik,Senterpartiet,2020-01-02,2020-01-08
1904,2019-2020,"Domstolkommisjonen foreslår sammenslåing av Nord-Gudbrandsdal tingrett, Sør-Gudbrandsdal tingrett, Nord-Østerdal tingrett, Sør-Østerdal tingrett, Gjøvik tingrett og Hedmarken tingrett til Innlandet tingrett. Domstolkommisjonen foreslår at hovedrettstedet legges til Hamar, men av hensyn til tilgjengelighet og reisetid foreslås det å opprettholde en avdeling på Tynset.
Hvem ser statsråden for seg at eventuelt skal ha kompetanse til å opprette og nedlegge denne typen avdelinger som Domstolkommisjonen legger opp til?",Emilie Mehl,Senterpartiet,2020-01-02,2020-01-08
1905,2019-2020,"26. desember var alle ambulansefly i Finnmark ute av drift på grunn av sykdom. Da Luftambulansetjenesten HF vurderte anbudet fra Babcock, omtalte de det slik: ""Det vinnende tilbudet er rangert som nr. 4 på kvalitet. Dette skyldes primært at tilbudt beredskap er lavest med færre piloter og færre reservefly enn konkurrerende tilbud. Den prismessige fordelen mer enn oppveier den reduserte kvaliteten.""
Er statsråden i dag enig med denne vurderingen, at den prismessige fordelen har oppveid den reduserte kvaliteten?",Kjersti Toppe,Senterpartiet,2020-01-02,2020-01-08
1906,2019-2020,"I fjor avholdt regjeringen et toppmøte om havvind hvor formålet blant annet var ""å drøfte sentrale hensyn som bør vektlegges ved tilrettelegging for havvind i Norge"". Statsråden uttalte derimot den 26. august at vindmøller til havs ""vil bidra til forsøpling av vårt havrom og vi har veldig mange andre interesser langs kysten som vi må ivareta, det være seg både petroleumsnæringen og skipsfarten"". 
Betyr dette at statsråden ikke vil legge til rette for havvind fremover?",Lars Haltbrekken,Sosialistisk Venstreparti,2019-12-20,2020-01-08
1907,2019-2020," Mitt spørsmål går  til statsråd Nybø.

Vi vet at flesteparten av studentene her til lands holder seg i hjemtraktene når de skal studere, og at studenter flest etablerer seg nært der de har studert. Til tross for et stort behov og påstått satsing står mange studieplasser i distriktene tomme. Regjeringen vil støtte nyetableringer av studietilbud framfor å sikre godt etablerte studiesteder som eksisterer, med tilhørende fagmiljø, forelesere og praksisplasser. Her er det en stor kapasitet som vi har behov for å utnytte. Hvis ikke kan vi komme til å mangle nærmere 30 000 lærere om 15 år. Dette er kritisk med tanke på demografisk utvikling og helsetilbudet, med tjenester nær folk i hele landet. Strukturen i universitets- og høyskolesektoren er i endring, og høyskolenes enorme innsats for å sikre kvalifiserte fagfolk og profesjonsarbeidere i hele landet er under press. Rekruttering til kommunene er allerede nå krevende, før strukturreformen og alle endringer som er i gang, har satt seg.

Senterpartiet lurer derfor på hva statsråden vil gjøre for å få utnyttet denne kapasiteten, som er kritisk og avgjørende fordi den står uutnyttet, eller om hun vil la det være opp til institusjonene helt selv, selv om problemet rammer hele samfunnet og små lokalsamfunn spesielt hardt.

",Marit Knutsdatter Strand,Senterpartiet,2019-12-18,2019-12-18
1908,2019-2020," Kunnskapsministeren  kan bare bli stående. Jeg skal forsikre meg om at dette ikke sklir  ut på samme måte – han skal få et spørsmål på slutten.

Norsk skole står overfor en alvorlig lærermangel. Lærermangelen vil øke i årene som kommer, og en ser allerede alarmerende konsekvenser ute i klasserommene. Allerede nå er andelen ukvalifiserte den høyeste på 15 år, en økning på nesten 50 pst. siden Høyre overtok. Allerede nå utføres halvparten av timene med spesialundervisning av ukvalifiserte assistenter. Og allerede nå melder kommuner, spesielt i distriktene, om vanskeligheter med å rekruttere lærere.

Ukvalifiserte er altså blitt satt inn i undervisning for å dekke lærermangelen, og vi ser framover at dette bare vil bli verre. SSB meldte i 2018 om at vi ligger an til å mangle 5 800 kvalifiserte lærere i 2040. Dette er en økning i lærermangelen på 1 800 lærere siden den forrige beregningen i 2016, altså på bare to år.

Jeg skulle egentlig ønske at jeg sto her i dag kun for å kritisere mangelen på tiltak fra høyreregjeringa, men det er altså ikke tilfellet i denne saken, for vi har nå en regjering som bevisst innfører politikk som målrettet øker lærermangelen. Det er derfor SSBs estimat øker så drastisk på bare to år. Denne regjeringa har innført en avskilting av lærere med tilbakevirkende kraft, som sender kvalifiserte lærere ut av skolen og på kurs. En innfører firerkrav i matte på lærerutdanningen, noe som gjør at topp motiverte søkere med 5 i norsk, men kanskje 3 i matte, ikke får bli norsklærere, og en innfører en lærernorm som ikke er fullfinansiert, som er en skrivebordsreform som kun fungerer i teorien på Høyres hus.

Så kan statsråden forsikre foreldre, lærere og elever rundt omkring i Norge om at færre ukvalifiserte skal undervise i klasserommene våre rundt omkring i landet de neste årene?

",Torstein Tvedt Solberg,Arbeiderpartiet,2019-12-18,2019-12-18
1909,2019-2020," Statsråden har sagt følgende  om endringene i barnehageloven:

Men i notatet fra regjeringen til høringen finnes det ingen tiltak som faktisk sikrer at pengene blir i barnehagene. I fjor tok man ut over 160 mill. kr i form av konsernbidrag – penger sendt oppover i systemet fra den enkelte barnehage til kjedene lenger opp i konsernet, penger som altså ikke gikk til barna. Det er en sum som tilsvarer rundt 270 fagarbeiderstillinger i barnehagene. Så lenge regjeringen godtar at det finnes kommersielle selskaper i barnehagesektoren, er det vanskelig å se hvordan alle pengene faktisk vil bli i barnehagene og komme barna til gode. 

Et ektepar fikk inn 356 mill. kr da de solgte Gnist-barnehagene til oppkjøpsfondet Altor i fjor. Da jeg spurte statsråd Sanner om dette, sa han at barnehagelovendringene ville begrense muligheten for den typen gevinster på salg av barnehager, men at det også ville være mulig å ta ut store gevinster ved salg i videreførelsen med de nye lovendringene.

Barnehagene er finansiert av det offentlige og av foreldrepenger, ikke for å bygge private formuer, men for å sikre et best mulig barnehagetilbud til barna. Hvor mye mener statsråden det er greit at kommersielle eiere kan ta ut av barnehager? Eller sagt på en annen måte: Hvor mye av tilskuddet til barnehager er det greit at egentlig ikke kommer barna til gode, men forsvinner ut i form av konsernbidrag og på andre måter lenger opp i systemet?

",Bjørnar Moxnes,Rødt,2019-12-18,2019-12-18
1910,2019-2020," Mitt spørsmål går til kunnskapsminister  Jan Tore Sanner.

Høyre har latt PISA styre norsk skoledebatt i snart 20 år. Årets resultater illustrerer godt hvorfor dette er et villspor. Det vi allerede vet, er at mange norske barn ikke leser godt nok, og at guttene er overrepresentert blant dem. I stedet for lettvinte garantier om PISA-tall, sånn som Erna Solberg ga i 2009, trenger vi en saklig debatt om kvalitet og innhold i skolen. 

Å motivere til leselyst og leseglede er en viktig del av det arbeidet skolen gjør. SV mener at vi har nok kunnskap om hva som øker kvaliteten i leseopplæringen. Høyre bør se på de skolene som jobber strategisk, og som lykkes med å motivere elever til å lese både i og utenfor skolen. Så jeg har tre juleønsker til ministeren som jeg tror vil føre til at flere barn kommer til å lese godt. Vi trenger en ny nasjonal leselystsatsing. Å jobbe med lesing krever langsiktig, strategisk arbeid. Mange skoler er gode på dette, men vi må ha en nasjonal strategi for å sikre kvaliteten på leseopplæringen i hele landet. Vi trenger en lovfestet rett til skolebibliotek med kvalifiserte bibliotekarer, for vi ser at de skolene som har lyktes med leseopplæringen, sånn som f.eks. Huseby skole i Oslo, har rustet opp skolebibliotekene. Så trenger vi en satsing på lesetiltak, og Høyre bør bevilge mer penger til tiltak som vi vet fungerer, f.eks. Foreningen !les sin populære leselystaksjon Bokslukerprisen. 

Er det mulig for statsråden, siden det nå snart er jul, å oppfylle noen av mine juleønsker?

",Mona Fagerås,Sosialistisk Venstreparti,2019-12-18,2019-12-18
1911,2019-2020," Det vert mykje trim  i dag, spesielt for dei av oss som har gått rundt juletreet tidlegare  i dag. 

Spørsmålet mitt går også til forsvarsministeren. Senterpartiet har åtvara mot regjeringa og Arbeidarpartiet si avgjerd om å leggje ned Andøya flystasjon, noko som er eit historisk feilgrep. Investeringskostnadene for ny base skulle ifølgje regjeringa samla kome på 3,5 mrd. kr, ikkje for P8-flya, men samla. Det er allereie no klart at det vert nesten 1 mrd. kr meir. No er det kjent at forseinkinga av arbeidet på Evenes gjer at innfasinga av det nye P8-flyet må skje ein annan stad, altså at basen på Evenes ikkje kan brukast til dette. Det er nemnt fleire basar, m.a. Bodø, Andøya og Gardermoen. 

Til liks med rapporten om alliert mottak, som aldri kom frå regjeringa, har avgjerda om kvar innfasinga av P8-fly skal skje, teke si tid. Det er kjent at synfaring på basane er gjord for ganske lenge sidan. Eg veit òg at det er andre skjer i sjøen, bl.a. driv ein og flytter rundt på ein hangar. Me veit at det ikkje er klarlagt korleis ein skal lagre ammunisjon. Det er mykje som ikkje er klart, og det vil bety auka kostnader og forseinkingar på Evenes. Då reiser spørsmålet seg om korleis ein skal løyse situasjonen i tida framover. Det er òg sjølvsagt at når ein har investert 30 mrd. kr på Andenes, vert det litt rart å tenkje seg at ein skal bruke berre nokre få milliardar for å få opp ein tilsvarande base på Evenes, sjølv om det er lenge sidan dei midlane vart lagde inn for Andøya. 

Spørsmålet mitt til forsvarsministeren er: Meiner statsråden at å fase inn dei nye P8-overvakingsflya handlar om operativ drift? Og vil han dermed følgje tilrådinga frå Luftforsvaret når ho ein gong kjem på hans bord?

",Liv Signe Navarsete,Senterpartiet,2019-12-18,2019-12-18
